
Sync-Point 0, Time: 0, Nf = 0000110000, Systemstep: 0
Sync-Point 243, Time: 0.165039, Nf = 0000000166, Systemstep: 0.000488281

Sync-Point 244, Time: 0.165527, Nf = 0000000040, Systemstep: 0.000488281

Sync-Point 245, Time: 0.166016, Nf = 0000008216, Systemstep: 0.000488281

Sync-Point 246, Time: 0.166504, Nf = 0000000044, Systemstep: 0.000488281

Sync-Point 247, Time: 0.166992, Nf = 0000000186, Systemstep: 0.000488281

Sync-Point 248, Time: 0.16748, Nf = 0000000048, Systemstep: 0.000488281

Sync-Point 249, Time: 0.167969, Nf = 0000034648, Systemstep: 0.000488281

Sync-Point 250, Time: 0.168457, Nf = 0000000050, Systemstep: 0.000488281

Sync-Point 251, Time: 0.168945, Nf = 0000000210, Systemstep: 0.000488281

Sync-Point 252, Time: 0.169434, Nf = 0000000054, Systemstep: 0.000488281

Sync-Point 253, Time: 0.169922, Nf = 0000008434, Systemstep: 0.000488281

Sync-Point 254, Time: 0.17041, Nf = 0000000058, Systemstep: 0.000488281

Sync-Point 255, Time: 0.170898, Nf = 0000000216, Systemstep: 0.000488281

Sync-Point 256, Time: 0.171387, Nf = 0000000058, Systemstep: 0.000488281

Sync-Point 257, Time: 0.171875, Nf = 0000099992, Systemstep: 0.000488281

Sync-Point 258, Time: 0.172363, Nf = 0000000068, Systemstep: 0.000488281

Sync-Point 259, Time: 0.172485, Nf = 0000000001, Systemstep: 0.00012207

Sync-Point 260, Time: 0.172607, Nf = 0000000001, Systemstep: 0.00012207

Sync-Point 261, Time: 0.172729, Nf = 0000000001, Systemstep: 0.00012207

Sync-Point 262, Time: 0.172852, Nf = 0000000230, Systemstep: 0.00012207

Sync-Point 263, Time: 0.172974, Nf = 0000000031, Systemstep: 0.00012207

Sync-Point 264, Time: 0.173035, Nf = 0000000001, Systemstep: 6.10352e-05

Sync-Point 265, Time: 0.173096, Nf = 0000000054, Systemstep: 6.10352e-05

Sync-Point 266, Time: 0.173218, Nf = 0000000021, Systemstep: 0.00012207

Sync-Point 267, Time: 0.17334, Nf = 0000000161, Systemstep: 0.00012207

Sync-Point 268, Time: 0.173462, Nf = 0000000028, Systemstep: 0.00012207

Sync-Point 269, Time: 0.173584, Nf = 0000000155, Systemstep: 0.00012207

Sync-Point 270, Time: 0.173706, Nf = 0000000038, Systemstep: 0.00012207

Sync-Point 271, Time: 0.173767, Nf = 0000000007, Systemstep: 6.10352e-05

Sync-Point 272, Time: 0.173828, Nf = 0000008556, Systemstep: 6.10352e-05

Sync-Point 273, Time: 0.173889, Nf = 0000000001, Systemstep: 6.10352e-05

Sync-Point 274, Time: 0.17395, Nf = 0000000040, Systemstep: 6.10352e-05

Sync-Point 275, Time: 0.174072, Nf = 0000000172, Systemstep: 0.00012207

Sync-Point 276, Time: 0.174194, Nf = 0000000034, Systemstep: 0.00012207

Sync-Point 277, Time: 0.174316, Nf = 0000000301, Systemstep: 0.00012207

Sync-Point 278, Time: 0.174438, Nf = 0000000031, Systemstep: 0.00012207

Sync-Point 279, Time: 0.174561, Nf = 0000000176, Systemstep: 0.00012207

Sync-Point 280, Time: 0.174683, Nf = 0000000039, Systemstep: 0.00012207

Sync-Point 281, Time: 0.174805, Nf = 0000000363, Systemstep: 0.00012207

Sync-Point 282, Time: 0.174927, Nf = 0000000029, Systemstep: 0.00012207

Sync-Point 283, Time: 0.175049, Nf = 0000000169, Systemstep: 0.00012207

Sync-Point 284, Time: 0.175171, Nf = 0000000019, Systemstep: 0.00012207

Sync-Point 285, Time: 0.175293, Nf = 0000000329, Systemstep: 0.00012207

Sync-Point 286, Time: 0.175415, Nf = 0000000018, Systemstep: 0.00012207

Sync-Point 287, Time: 0.175537, Nf = 0000000161, Systemstep: 0.00012207

Sync-Point 288, Time: 0.175659, Nf = 0000000014, Systemstep: 0.00012207

Sync-Point 289, Time: 0.175781, Nf = 0000034390, Systemstep: 0.00012207

Sync-Point 290, Time: 0.175903, Nf = 0000000006, Systemstep: 0.00012207

Sync-Point 291, Time: 0.176025, Nf = 0000000130, Systemstep: 0.00012207

Sync-Point 292, Time: 0.176147, Nf = 0000000018, Systemstep: 0.00012207

Sync-Point 293, Time: 0.176208, Nf = 0000000002, Systemstep: 6.10352e-05

Sync-Point 294, Time: 0.17627, Nf = 0000000401, Systemstep: 6.10352e-05

Sync-Point 295, Time: 0.176331, Nf = 0000000008, Systemstep: 6.10352e-05

Sync-Point 296, Time: 0.176392, Nf = 0000000051, Systemstep: 6.10352e-05

Sync-Point 297, Time: 0.176453, Nf = 0000000004, Systemstep: 6.10352e-05

Sync-Point 298, Time: 0.176514, Nf = 0000000309, Systemstep: 6.10352e-05

Sync-Point 299, Time: 0.176636, Nf = 0000000068, Systemstep: 0.00012207

Sync-Point 300, Time: 0.176758, Nf = 0000000489, Systemstep: 0.00012207

Sync-Point 301, Time: 0.17688, Nf = 0000000054, Systemstep: 0.00012207

Sync-Point 302, Time: 0.177002, Nf = 0000000351, Systemstep: 0.00012207

Sync-Point 303, Time: 0.177124, Nf = 0000000039, Systemstep: 0.00012207

Sync-Point 304, Time: 0.177246, Nf = 0000000487, Systemstep: 0.00012207

Sync-Point 305, Time: 0.177368, Nf = 0000000025, Systemstep: 0.00012207

Sync-Point 306, Time: 0.17749, Nf = 0000000294, Systemstep: 0.00012207

Sync-Point 307, Time: 0.177612, Nf = 0000000042, Systemstep: 0.00012207

Sync-Point 308, Time: 0.177734, Nf = 0000008618, Systemstep: 0.00012207

Sync-Point 309, Time: 0.177856, Nf = 0000000026, Systemstep: 0.00012207

Sync-Point 310, Time: 0.177979, Nf = 0000000365, Systemstep: 0.00012207

Sync-Point 311, Time: 0.178101, Nf = 0000000017, Systemstep: 0.00012207

Sync-Point 312, Time: 0.178223, Nf = 0000000567, Systemstep: 0.00012207

Sync-Point 313, Time: 0.178345, Nf = 0000000022, Systemstep: 0.00012207

